

lambda, Y
9e-07, 4.00238e-16
8.88778e-07, 4.21625e-16
8.77833e-07, 4.86043e-16
8.67153e-07, 5.86423e-16
8.56731e-07, 6.95415e-16
8.46556e-07, 7.85663e-16
8.3662e-07, 8.50636e-16
8.26914e-07, 9.11265e-16
8.17431e-07, 1.00343e-15
8.08163e-07, 1.15479e-15
7.99103e-07, 1.36719e-15
7.90244e-07, 1.6176e-15
7.81579e-07, 1.87778e-15
7.73102e-07, 2.13973e-15
7.64807e-07, 2.42926e-15
7.56688e-07, 2.79751e-15
7.48739e-07, 3.29567e-15
7.40956e-07, 3.95028e-15
7.33333e-07, 4.75816e-15
7.25866e-07, 5.70688e-15
7.18548e-07, 6.80875e-15
7.11377e-07, 8.12303e-15
7.04348e-07, 9.74396e-15
6.97456e-07, 1.175e-14
6.90698e-07, 1.41337e-14
6.84069e-07, 1.67491e-14
6.77567e-07, 1.93091e-14
6.71186e-07, 2.14454e-14
6.64925e-07, 2.28138e-14
6.5878e-07, 2.32016e-14
6.52747e-07, 2.25944e-14
6.46824e-07, 2.11731e-14
6.41007e-07, 1.9246e-14
6.35294e-07, 1.7147e-14
6.29682e-07, 1.51423e-14
6.24168e-07, 1.33801e-14
6.1875e-07, 1.18947e-14
6.13425e-07, 1.06483e-14
6.08191e-07, 9.58397e-15
6.03046e-07, 8.66333e-15
5.97987e-07, 7.87484e-15
5.93012e-07, 7.22016e-15
5.88119e-07, 6.69367e-15
5.83306e-07, 6.27123e-15
5.78571e-07, 5.91478e-15
5.73913e-07, 5.58782e-15
5.69329e-07, 5.27059e-15
5.64818e-07, 4.96502e-15
5.60377e-07, 4.68708e-15
5.56006e-07, 4.45221e-15
5.51703e-07, 4.26328e-15
5.47465e-07, 4.10799e-15
5.43293e-07, 3.9663e-15
5.39183e-07, 3.82226e-15
5.35135e-07, 3.67252e-15
5.31148e-07, 3.52653e-15
5.27219e-07, 3.3989e-15
5.23348e-07, 3.29943e-15
5.19534e-07, 3.22683e-15
5.15774e-07, 3.17001e-15
5.12069e-07, 3.11526e-15
5.08417e-07, 3.05463e-15
5.04816e-07, 2.99019e-15
5.01266e-07, 2.93186e-15
4.97765e-07, 2.8905e-15
4.94313e-07, 2.87089e-15
4.90909e-07, 2.86888e-15
4.87551e-07, 2.87425e-15
4.84239e-07, 2.87718e-15
4.80972e-07, 2.87412e-15
4.77748e-07, 2.86957e-15
4.74567e-07, 2.87272e-15
4.71429e-07, 2.89139e-15
4.68331e-07, 2.92697e-15
4.65274e-07, 2.97343e-15
4.62257e-07, 3.02093e-15
4.59278e-07, 3.06142e-15
4.56338e-07, 3.09299e-15
4.53435e-07, 3.1201e-15
4.50569e-07, 3.14988e-15
4.47739e-07, 3.18683e-15
4.44944e-07, 3.22931e-15
4.42184e-07, 3.26988e-15
4.39457e-07, 3.29937e-15
4.36765e-07, 3.312e-15
4.34105e-07, 3.30851e-15
4.31477e-07, 3.29531e-15
4.28881e-07, 3.28029e-15
4.26316e-07, 3.26773e-15
4.23781e-07, 3.25556e-15
4.21277e-07, 3.23652e-15
4.18801e-07, 3.20254e-15
4.16355e-07, 3.14974e-15
4.13937e-07, 3.08097e-15
4.11547e-07, 3.0044e-15
4.09185e-07, 2.92893e-15
4.06849e-07, 2.85926e-15
4.0454e-07, 2.79356e-15
4.02257e-07, 2.72514e-15
4e-07, 2.64714e-15




lambda, Y
9e-07, 2.66061e-16
8.88778e-07, 3.00219e-16
8.77833e-07, 3.38205e-16
8.67153e-07, 3.76492e-16
8.56731e-07, 4.14054e-16
8.46556e-07, 4.5389e-16
8.3662e-07, 5.01904e-16
8.26914e-07, 5.63675e-16
8.17431e-07, 6.41212e-16
8.08163e-07, 7.3203e-16
7.99103e-07, 8.31585e-16
7.90244e-07, 9.37845e-16
7.81579e-07, 1.05515e-15
7.73102e-07, 1.19459e-15
7.64807e-07, 1.37017e-15
7.56688e-07, 1.59284e-15
7.48739e-07, 1.86645e-15
7.40956e-07, 2.18908e-15
7.33333e-07, 2.5603e-15
7.25866e-07, 2.9906e-15
7.18548e-07, 3.507e-15
7.11377e-07, 4.1487e-15
7.04348e-07, 4.95142e-15
6.97456e-07, 5.92462e-15
6.90698e-07, 7.03096e-15
6.84069e-07, 8.17826e-15
6.77567e-07, 9.23069e-15
6.71186e-07, 1.0038e-14
6.64925e-07, 1.04743e-14
6.5878e-07, 1.04727e-14
6.52747e-07, 1.00435e-14
6.46824e-07, 9.27008e-15
6.41007e-07, 8.28294e-15
6.35294e-07, 7.22401e-15
6.29682e-07, 6.21214e-15
6.24168e-07, 5.32181e-15
6.1875e-07, 4.57923e-15
6.13425e-07, 3.97368e-15
6.08191e-07, 3.47639e-15
6.03046e-07, 3.0581e-15
5.97987e-07, 2.69946e-15
5.93012e-07, 2.39222e-15
5.88119e-07, 2.13436e-15
5.83306e-07, 1.92357e-15
5.78571e-07, 1.75323e-15
5.73913e-07, 1.61263e-15
5.69329e-07, 1.4903e-15
5.64818e-07, 1.37786e-15
5.60377e-07, 1.27213e-15
5.56006e-07, 1.17434e-15
5.51703e-07, 1.08745e-15
5.47465e-07, 1.01316e-15
5.43293e-07, 9.50296e-16
5.39183e-07, 8.95318e-16
5.35135e-07, 8.44139e-16
5.31148e-07, 7.94145e-16
5.27219e-07, 7.45145e-16
5.23348e-07, 6.98865e-16
5.19534e-07, 6.57461e-16
5.15774e-07, 6.22006e-16
5.12069e-07, 5.9184e-16
5.08417e-07, 5.65023e-16
5.04816e-07, 5.39517e-16
5.01266e-07, 5.14304e-16
4.97765e-07, 4.89803e-16
4.94313e-07, 4.67418e-16
4.90909e-07, 4.48552e-16
4.87551e-07, 4.33732e-16
4.84239e-07, 4.22337e-16
4.80972e-07, 4.13039e-16
4.77748e-07, 4.04644e-16
4.74567e-07, 3.96795e-16
4.71429e-07, 3.90134e-16
4.68331e-07, 3.85858e-16
4.65274e-07, 3.84965e-16
4.62257e-07, 3.87641e-16
4.59278e-07, 3.93152e-16
4.56338e-07, 4.00253e-16
4.53435e-07, 4.07866e-16
4.50569e-07, 4.15602e-16
4.47739e-07, 4.23823e-16
4.44944e-07, 4.33241e-16
4.42184e-07, 4.44303e-16
4.39457e-07, 4.56731e-16
4.36765e-07, 4.6951e-16
4.34105e-07, 4.81319e-16
4.31477e-07, 4.91152e-16
4.28881e-07, 4.98773e-16
4.26316e-07, 5.04739e-16
4.23781e-07, 5.09976e-16
4.21277e-07, 5.15154e-16
4.18801e-07, 5.20223e-16
4.16355e-07, 5.2437e-16
4.13937e-07, 5.26429e-16
4.11547e-07, 5.25508e-16
4.09185e-07, 5.2149e-16
4.06849e-07, 5.15111e-16
4.0454e-07, 5.07583e-16
4.02257e-07, 4.99968e-16
4e-07, 4.92646e-16


